cid	Job Title	STYRK 08	STYRK 08 label
53441	Oversykepleier	2223_x000D_
5321	Sjukepleiarar_x000D_
Helsefagarbeidarar
311410	Vernepleier (psykisk helsearbeid)	2224	Vernepleiarar
159840	Vernepleier	2224	Vernepleiarar
21529	Veterinær	2250	Veterinærar
67052	Andre medisinske yrke	226	Andre medisinske yrke
21483	Oralkirurg	2261	Tannlegar
21527	Tannlege	2261	Tannlegar
107295	Skoletannlege	2261	Tannlegar
118630	Distriktstannlege	2261	Tannlegar
118620	Overtannlege	2261	Tannlegar
67132	Kjeveortoped	2261	Tannlegar
69034	Instruktørtannlege	2261	Tannlegar
157608	Apoteker	2262	Farmasøytar
221683	Opplæringsfarmasøyt	2262	Farmasøytar
107512	Klinisk farmasøyt	2262	Farmasøytar
157349	Provisorfarmasøyt	2262	Farmasøytar
21652	Farmasøyt	2262	Farmasøytar
66581	Helse- og miljørådgjevarar	2263	Helse- og miljørådgjevarar
69696	Manuellterapeut	2264	Fysioterapeutar
21661	Fysioterapeut	2264	Fysioterapeutar
70406	Mensendiecker	2264	Fysioterapeutar
107434	Spesialterapeut for gamle	2264_x000D_
2267	Fysioterapeutar_x000D_
Ergoterapeutar
39518	Klinisk ernæringsfysiolog	2265	Ernæringsfysiologar
20340	Ernæringsfysiolog	2265	Ernæringsfysiologar
21670	Ernæringsterapeut	2265	Ernæringsfysiologar
22683	Logoped	2266	Audiografar og logopedar
66587	Audiografar og logopedar	2266	Audiografar og logopedar
40353	Audiograf	2266	Audiografar og logopedar
21662	Ergoterapeut	2267	Ergoterapeutar
166917	Blindeterapeut	2267	Ergoterapeutar
118600	Ledende ergoterapeut	2267	Ergoterapeutar
66589	Optometrists and ophthalmic opticians	2267	Ergoterapeutar
21684	Kiropraktor	2269	Kiropraktorar mm.
66590	Kiropraktorar mm.	2269	Kiropraktorar mm.
21678	Osteopat	2269	Kiropraktorar mm.
20633	Språklærer	23	Undervisingsyrke
20608	Lærer	23	Undervisingsyrke
40346	Universitets- og høyskolelektorer/-lærere	231_x000D_
2310	Universitets- og høgskolelektorar/-lærarar_x000D_
Universitets- og høgskolelektorar/-lærarar
170494	Stipendiat	2310	Universitets- og høgskolelektorar/-lærarar
108520	Amanuensis	2310	Universitets- og høgskolelektorar/-lærarar
198180	Førsteamanuensis	2310	Universitets- og høgskolelektorar/-lærarar
122921	Professor	2310	Universitets- og høgskolelektorar/-lærarar
66592	Yrkesfaglærarar	232_x000D_
2320	Yrkesfaglærarar_x000D_
Yrkesfaglærarar
20631	Yrkesskolelærer	2320	Yrkesfaglærarar
20235	HR-fagarbeider	2324	
20612	Lærer (ungdomsskole)	233_x000D_
2330	Lektorar mm. (vidaregåande skole)_x000D_
Lektorar mm. (vidaregåande skole)
20613	Lærer (videregående skole)	2330	Lektorar mm. (vidaregåande skole)
216050	Norsklærer (videregående skole)	2330	Lektorar mm. (vidaregåande skole)
20616	Biologilærer	2330	Lektorar mm. (vidaregåande skole)
70350	Skolerådgiver	2330	Lektorar mm. (vidaregåande skole)
176100	Lærervikar	2330_x000D_
2341	Lektorar mm. (vidaregåande skole)_x000D_
Grunnskolelærarar
20615	Historielærer	2330_x000D_
2633	Lektorar mm. (vidaregåande skole)_x000D_
Rådgjevarar/forskarar, humanistiske fag
67054	Grunnskole- og førskolelærarar	234	Grunnskole- og førskolelærarar
20611	Grunnskolelærer	2341	Grunnskolelærarar
266998	Barnehagelærer	2342	Førskolelærarar
33095	Child care Specialist	2342	Førskolelærarar
66593	Førskolelærarar	2342	Førskolelærarar
66594	Spesialistar i pedagogikk	2351	Spesialistar i pedagogikk
22004	Spesialpedagog	2352	Spesiallærarar / spesialpedagogar
39390	Audiopedagog	2352	Spesiallærarar / spesialpedagogar
172232	Lærer (døvespråk)	2352	Spesiallærarar / spesialpedagogar
21688	Musikkterapeut	2354	Andre musikklærarar
20621	Musikklærer	2354	Andre musikklærarar
108663	Instrumentalpedagog	2354	Andre musikklærarar
108662	Sangpedagog	2354	Andre musikklærarar
20646	Lærer i eurytmi	2355	Andre lærarar i estetiske fag
66285	Kunst- og kulturformidler	2355	Andre lærarar i estetiske fag
20650	Dansepedagog	2355_x000D_
2653	Andre lærarar i estetiske fag_x000D_
Koreografar og dansarar
66286	Andre IKT-lærarar	2356	Andre IKT-lærarar
67056	Rådgjevarar innan økonomi, administrasjon og sal	24	Rådgjevarar innan økonomi, administrasjon og sal
67057	Finansrådgjevarar	241	Finansrådgjevarar
22036	Controller	2411	Revisorar, rekneskapsrådgjevarar
66287	Revisorar, rekneskapsrådgjevarar	2411	Revisorar, rekneskapsrådgjevarar
22944	Revisor	2411	Revisorar, rekneskapsrådgjevarar
21886	Bedriftsøkonom	2412	Finans- og investeringsrådgjevarar
50495	Business Controller	2412	Finans- og investeringsrådgjevarar
22946	Financial controller	2412	Finans- og investeringsrådgjevarar
20331	Investment Advisor	2412	Finans- og investeringsrådgjevarar
20330	Finansrådgiver	2412	Finans- og investeringsrådgjevarar
21744	Finansanalytiker	2413	Finansanalytikarar
21739	Equity Research Analyst (Finance)	2413	Finansanalytikarar
154571	Forretningsutvikler	2413	Finansanalytikarar
130035	Markedsforsker	2413	Finansanalytikarar
67058	Administrasjonsrådgjevarar	242	Administrasjonsrådgjevarar
55020	Organisasjonsrådgiver IKT	2421	Organisasjonsrådgjevarar mm.
